nome_arquivo,extensao,tamanho_kb,entropia,tem_macros,categoria,nivel_risco,classe
payment_document.gz,gz,7488,6.135241544291611,True,compactados,alto,malicioso
purpose.odp,odp,1630,4.775416898312635,False,apresentacoes,baixo,seguro
brother.rar,rar,2380,6.1356786900260465,True,compactados,alto,malicioso
ago.gz,gz,7245,6.236271950531946,False,compactados,medio,malicioso
site.png,png,668,5.294109986123311,False,imagens,baixo,seguro
face_election.svg,svg,758,4.186773247165481,False,imagens,baixo,seguro
payment.odt,odt,1445,4.9115024697549,False,documentos,baixo,seguro
dog.xlsx,xlsx,7191,7.2060909669627655,False,planilhas,medio,malicioso
chair.txt,txt,866,6.073199283201058,False,documentos,baixo,seguro
since_blue.pptx,pptx,3290,5.940698104213918,False,apresentacoes,baixo,seguro
require_sit.txt,txt,959,6.4105541804257316,False,documentos,baixo,seguro
delivery.zip,zip,938,6.356406828649602,True,compactados,alto,malicioso
wait_offer.svg,svg,2197,5.1476589172559954,False,imagens,baixo,seguro
update.ods,ods,5141,7.046594113305073,False,planilhas,medio,malicioso
begin.cmd,cmd,2572,6.946913458943671,False,executaveis,alto,malicioso
shipping.pptx,pptx,2006,4.870359418196941,False,apresentacoes,baixo,seguro
bank.ps1,ps1,4576,7.46808275208631,False,executaveis,alto,malicioso
performance_knowledge.odp,odp,2455,6.012427767819264,False,apresentacoes,baixo,seguro
almost.tar,tar,7366,7.02330309763736,True,compactados,alto,malicioso
password.gif,gif,1966,5.215392925954704,False,imagens,baixo,seguro
all.ods,ods,3133,4.658236257472947,False,planilhas,baixo,seguro
payment_statement.ppt,ppt,1694,7.660961710703186,False,apresentacoes,medio,malicioso
refund.jpg,jpg,1274,3.7244847447311265,False,imagens,baixo,seguro
better.pptx,pptx,667,6.055295877052075,False,apresentacoes,baixo,seguro
discover.pptx,pptx,8044,7.657527733057219,True,apresentacoes,alto,malicioso
early.doc,doc,1873,5.740299100213781,False,documentos,baixo,seguro
confidential.js,js,4956,7.716505717895924,True,executaveis,alto,malicioso
mouth.docx,docx,2010,5.0934989544462805,False,documentos,baixo,seguro
play.xlsx,xlsx,3143,5.359131105612246,False,planilhas,baixo,seguro
verify.rar,rar,203,7.70792621023061,False,compactados,alto,malicioso
agreement.cmd,cmd,9676,6.568393073335168,False,executaveis,alto,malicioso
tax.csv,csv,1797,6.450690833662392,False,planilhas,medio,malicioso
tax_payment.7z,7z,9985,7.415827092854544,False,compactados,medio,malicioso
option.ppt,ppt,1567,5.362673489390913,False,apresentacoes,baixo,seguro
bank.odp,odp,695,6.586972479510009,False,apresentacoes,medio,malicioso
decide.odp,odp,2686,5.742442594815115,False,apresentacoes,baixo,seguro
sense.xlsx,xlsx,3007,5.092557121108355,False,planilhas,baixo,seguro
rate.docx,docx,7944,7.838029744716944,True,documentos,alto,malicioso
science_offer.ppt,ppt,1858,6.080421790696466,False,apresentacoes,baixo,seguro
kind.bmp,bmp,124,4.293375735057271,False,imagens,baixo,seguro
discussion.txt,txt,2157,5.253680274956498,False,documentos,baixo,seguro
list.ppt,ppt,4609,4.484018845452128,False,apresentacoes,baixo,seguro
order.ppt,ppt,5001,7.233554947940723,True,apresentacoes,alto,malicioso
perform.pdf,pdf,806,4.204400097293988,False,documentos,baixo,seguro
fall.ods,ods,4435,4.757380260244169,False,planilhas,baixo,seguro
